x1,x2,x3,x4,x5,x6,x7
200.0,0.031415972186463914,0.013145918790987613,0.17088926141282385,0.061458790983216535,0.4646542105704586,0.10233385999616368
400.0,0.019699439456038213,0.008522319713227564,0.09484806384643572,0.03494181876058109,0.2302400470848958,0.05906836447717146
600.0,0.014159151046369684,0.0059829888892874526,0.06192398485554621,0.028841627216810235,0.17230142947338675,0.03808343075231188
800.0,0.011089813840577344,0.00515388754960847,0.04590094471139633,0.02373892403335817,0.13153557640755073,0.03074525079333869
1000.0,0.010115461575617985,0.0041295574070252675,0.03686856403948216,0.02093390448900495,0.10431695798212388,0.028420107523824935
1200.0,0.008770663314788872,0.004318196123004767,0.03066780471773461,0.017245645392702225,0.08761188271374247,0.02534951468176304
1400.0,0.0074407951839381824,0.003175261980008071,0.02704778275858966,0.017522709032465326,0.07228874016763481,0.022859832851504502
1600.0,0.006859133257126029,0.0028197319940294185,0.0231092162021223,0.014918346417709586,0.06495485254742725,0.021006763769934475
1800.0,0.00636874494275288,0.0031444736231300914,0.01926339431603994,0.01325630281906358,0.056234783025499564,0.01917719030193111
2000.0,0.006143118940056487,0.0027306120153793305,0.017698479476032775,0.012590639082410619,0.049679730445784005,0.0222567162268485
2200.0,0.005447107526271084,0.0025090256236519554,0.016171977187809775,0.012480340276557372,0.046960869252337695,0.01777251261399641
2400.0,0.0052656493627472045,0.002335789239756516,0.014413364051917454,0.010248122248938228,0.04185140944381978,0.01728722239203873
2600.0,0.004859144097322869,0.002121705281786728,0.014156459396255663,0.009346459580673363,0.03710400919835419,0.016843966089726343
2800.0,0.0044956576026977104,0.002065116553652434,0.013391619090979016,0.008457537331324568,0.03537868702722476,0.015801749566850765
3000.0,0.004117817418885136,0.0019000797019667506,0.012716294637235002,0.009101380343036402,0.03319524289187348,0.015925136667847405
3500.0,0.003901024606622312,0.0019871124750656653,0.010709181050361498,0.00817711507518302,0.029135601009621384,0.014568838830773671
4000.0,0.003704924191943369,0.0018689869947604517,0.010166713467042671,0.007299292615770306,0.02533445360861699,0.012168126192461807
4500.0,0.003287358004172309,0.0015855743592010398,0.009859904539746939,0.006710962539699065,0.022473116296646434,0.011755499571023061
5000.0,0.0029923908112926734,0.0014149552835241758,0.00868060879662972,0.006081904391970306,0.020071423745310187,0.011721043756528125
5500.0,0.0028678882128956597,0.0015484501022678088,0.008112500622471543,0.005849405663141825,0.01782741197932002,0.010829926065327298
6000.0,0.0026325341980455263,0.001111056935477148,0.006839417988083658,0.0048933138855585985,0.016614848247317782,0.009718621956283445
6500.0,0.0024493711343091247,0.0012206983971463612,0.006658644869809153,0.004757163140815784,0.016899996908083845,0.010346429222593491
7000.0,0.0023429032383697258,0.0012465640375532788,0.006168803289992666,0.004827540256982215,0.013940752836542255,0.009219540423710836
7500.0,0.0023277066946298546,0.0011576508148989871,0.006034273126526664,0.0042704318154067646,0.013413996962758166,0.008711030687385877
8000.0,0.0020306911270912926,0.001029971404859547,0.00529544519305196,0.004301708493117178,0.012603465662698366,0.008050500074075068
